Billie Jean; Michael Jackson
Beat It; Michael Jackson
Smooth Criminal; Michael Jackson
Thriller; Michael Jackson
Rock with You; Michael Jackson
Don't Stop 'Til You Get Enough; Michael Jackson
The Way You Make Me Feel; Michael Jackson
Man in the Mirror; Michael Jackson
P.Y.T. (Pretty Young Thing); Michael Jackson
They Don't Care About Us; Michael Jackson
Bad; Michael Jackson
Love Never Felt So Good; Michael Jackson
Remember the Time; Michael Jackson
Chicago; Michael Jackson
Dirty Diana; Michael Jackson
Black or White; Michael Jackson
Heal the World; Michael Jackson
Human Nature; Michael Jackson
Wanna Be Startin' Somethin'; Michael Jackson
I Just Can't Stop Loving You; Michael Jackson
Cruel Summer; Taylor Swift
Blank Space; Taylor Swift
Anti-Hero; Taylor Swift
Lover; Taylor Swift
cardigan; Taylor Swift
Shake It Off; Taylor Swift
august; Taylor Swift
Style; Taylor Swift
Don’t Blame Me; Taylor Swift
Look What You Made Me Do; Taylor Swift
Delicate; Taylor Swift
Wildest Dreams; Taylor Swift
You Need To Calm Down; Taylor Swift
All Too Well (10 Minute Version) (Taylor’s Version) [From The Vault]; Taylor Swift
Love Story; Taylor Swift
willow; Taylor Swift
Love Story (Taylor’s Version); Taylor Swift
I Knew You Were Trouble; Taylor Swift
ME!; Taylor Swift
Karma; Taylor Swift
Toxic; Britney Spears
...Baby One More Time; Britney Spears
Oops!...I Did It Again; Britney Spears
Gimme More; Britney Spears
Womanizer; Britney Spears
Circus; Britney Spears
My Only Wish (This Year); Britney Spears
Work Bitch; Britney Spears
Criminal; Britney Spears
I'm a Slave 4 U; Britney Spears
If U Seek Amy; Britney Spears
Sometimes; Britney Spears
I Wanna Go; Britney Spears
Till the World Ends; Britney Spears
Everytime; Britney Spears
Lucky; Britney Spears
Stronger; Britney Spears
Piece of Me; Britney Spears
Make Me...; Britney Spears
(You Drive Me) Crazy; Britney Spears
Shallow; Lady Gaga
Die With A Smile; Lady Gaga
Poker Face; Lady Gaga
Always Remember Us This Way; Lady Gaga
Bad Romance; Lady Gaga
